Name,Gang,Age,Education,Marriage,Job
    Art,Jets,40s,JH,Sing,Pusher
    Al,Jets,30s,JH,Mar,Burglar
    Sam,Jets,20s,Coll,Sing,Bookie
    Clyde,Jets,40s,JH,Sing,Bookie
    Mike,Jets,30s,JH,Sing,Bookie
    Jim,Jets,20s,JH,Div,Burglar
    Greg,Jets,20s,HS,Mar,Pusher
    John,Jets,20s,JH,Mar,Burglar
    Doug,Jets,30s,HS,Sing,Bookie
    Lance,Jets,20s,JH,Mar,Burglar
    George,Jets,20s,JH,Div,Burglar
    Pete,Jets,20s,HS,Sing,Bookie
    Fred,Jets,20s,HS,Sing,Pusher
    Gene,Jets,20s,Coll,Sing,Pusher
    Ralph,Jets,30s,JH,Sing,Pusher
    Phil,Sharks,30s,Coll,Mar,Pusher
    Ike,Sharks,30s,JH,Sing,Bookie
    Nick,Sharks,30s,HS,Sing,Pusher
    Don,Sharks,30s,Coll,Mar,Burglar
    Ned,Sharks,30s,Coll,Mar,Bookie
    Karl,Sharks,40s,HS,Mar,Bookie
    Ken,Sharks,20s,HS,Sing,Burglar
    Earl,Sharks,40s,HS,Mar,Burglar
    Rick,Sharks,30s,HS,Div,Burglar
    Ol,Sharks,30s,Coll,Mar,Pusher
    Neal,Sharks,30s,HS,Sing,Bookie
    Dave,Sharks,30s,HS,Div,Pusher
